Crop,Farm/Grower,Image,Location,Area,WTF?,Lat,Long,Owner,Website,Contact,Confirmation? ,Email,You pick?,Hours of operation,Notes,Images,
Lemons; Honey,Friesian Groves/Cotton Lane Citrus,,14014 n. 172nd Ave,Surprise,residential street,33.612244,-112.432253,George Bradbury,http://u-pickcitrusaz.com/,623.556.1024,y,info@u-pickcitrusaz.com,U-Pick,Daily 9 am - 3 pm,"Many types of citrus are available, including oranges, white grapefruit, tangelos, and lemons. Started selling honey in 2014.",,
Lemons; Apples; Chili Peppers; Pumpkins; Medjool Dates; Sweet Corn,Farm at Agritopia,"""\\Covellite\vae\Ag_Grant\Map\Images\Olives-Lemons\Agritopia_farm wide shot.png""",3000 E. Ray Rd #5,Gilbert,,33.321864,-111.726244,Johnston Farms,http://thefarmatagritopia.com/,480.988.1238,LM,erich@thefarmatagritopia.com,U-Pick;  Farm Stand; Farmers Market;  Restaurant; Tours,Lemons and Apples U-Pick: Saturday 8 -3; Other vegetables available at Farm Stand: Saturday & Sunday 8 - 12; 24 hour self-service; Agritopia Farmers Markets: Wednesday 4-8; Saturday 8-3,"Agritopia is an ""urban farm"" designed to flourish in the urban setting of suburban Phoenix.  A great source for organic produce of all types. ",agritopia/Agritopia_farm_wide_shot.png,
Lemons; Olives,Truman Ranch II,,Greenway Rd. and 188th Ave,Surprise,,33.618056,-112.460833,James S. Truman,http://u-pickcitrusaz.com/truman-ranch/,623.546.1715,LM,info@u-pickcitrusaz.com,U-Pick,Saturday & Sunday 9:30-3,"85 varieties of citrus fruit plus olives, apples, figs, and more! The fourth-generation Arizona citrus farmer who managed the citrus farm when it was the university's Citrus Agricultural Center in Waddell since 1988 continues to nurture the 40 acres. ",truman-farms/Eureka_Lemon.jpg;truman-farms/Manzinillo_Olive_Trees.jpg;truman-farms/Olives_Truman.jpg,
Lavender,Red Rock Ranch and Farms,"""\\Covellite\vae\Ag_Grant\Map\Images\Lavender\Lavender_Red_Rock_field.JPG""",HC 65 Box 35201,Concho,,34.475565,-109.605886,Michael and Chistine Teeple,http://www.redrockfarms.com/,928.337.2289,y,tours@redrockfarms.com,Country Store; Special Events,Weekdays 9-3 ,Tours are available. This venue hosts the yearly lavender festival in June. ,red-rock/Lavender_Red_Rock_field.JPG,
Lavender,Windy Hills Lavender,Lavender_Whbigsign,3374 Stone Bridge Trail,Heber,,34.426879,-110.585965,Lois Hunt,http://www.windyhillslavender.com/,928.240.2273,y,windyhillslavender@yahoo.com,"Country Store, Classes",Friday 11-6; Saturday 10-6; Sunday 10-4,An off-the-grid lavender farm offers products and classes at their Heber botique. Classes include growing lavender and cooking with lavender.,windy-hills/Lavender_WindyHills_bigsign.png,
Lavender,Lavender Herb Farm and Tea House,,1097 N. James Dr,Chino Valley,,34.763585,-112.43841,Linda,http://www.lavenderherbfarm.com/,928.636.5270,LM,linda@lavenderherbfarm.com,Country Store and Restaurant,First and third Saturdays of every month,A wide variety of lavender is available here. The tea house hosts two special teas per month and is open for special events. Please see website for details.,,
Honey; Sweet Corn; Pumpkins; Chili Peppers,Mortimer Family Farms,,12907 State Route 169,Dewey,,34.530161,-112.23983,Gary and Sharla Mortimer,http://mortimerfamilyfarms.com/,928.830.1666,LM,info@mortimerfamilyfarms.com,Country Store; Tours; Special Events,Daily 8-5,"This large farm hosts special events, offers tours, and hosts two festivals a year: the Sweet Corn Festival in late August and a Pumpkin Festival in October complete with corn maze. Throughout the year it offers vegetables and meats as well as a variety of sweets in their country store. ",,
Honey; Chili Peppers; Sweet Corn; Pumpkins; Romaine Lettuce,RichCrest Farms,,2768 N. Evelyn Lane,Cochise,,32.038028,-109.870841,,http://www.richcrestfarms.blogspot.com/,520.826.3434,LM,richcrestfarm@gmail.com,U-Pick; Country Store; Tours; Special Events; Guest Lodging,Daily 7 am -6 pm; U-Pick open June-October by appointment.,A working farm with a variety of organic produce and opportunities to learn or discover with classes and tours. ,,
Medjool Dates; Honey; Romaine Lettuce,Tonopah Rob's Vegetable Farm,,35838 W Buckeye Rd,Tonopah,,33.43671,-112.823666,Rob,http://tonopahrob.com/,623.386.3033,"No answer, can't leave message",tonopahrob@gmail.com,U-Pick; Farm Stand; CSA,Saturday 8-12 (summer hours 7 - 11). Farm stand opens November 2,"A community-centric farm with opportunities for volunteeers. Honey, dates, and a whole variety of veggies (lots of tomatoes) even a few fruits.",,
Medjool Dates,Dateland Date Gardens,"""\\Covellite\vae\Ag_Grant\Map\Images\Dates\Date_Dateland_Gift_Shop.jpeg""",,Dateland,,32.799081,-113.54084,,http://www.dateland.com,,y,dpvwebadmin@dateland.com,Country Store; Travel Center,Monday-Saturday 8 am-9 pm; Sunday 9 am-9 pm,"These date gardens are now an Interstate 8 landmark, complete with a full-service rest stop and RV park. The country store offers seven varieties of dates and a large selection of date products. Don't forget to try a famous date milkshake or date ice cream from their ice cream corner. ",dateland/Date_Dateland_DateLshakeLlogo.jpeg;dateland/Date_Dateland_Gift_Shop.jpeg,
Medjool Dates,Martha's Gardens Date Farm,,9747 S. Ave 9 3/4 E,Yuma,,32.685507,-114.464064,Nels and Martha Rogers,http://www.marthasgardens.com,928.726.8831,,contact@marthasgardens.com,"Country Store, Tours",Farm tours available twice daily Monday - Friday from November - March. $10 per person; 10:30 & 1:30. ,"Date products galore! Sip a date shake while overlooking the garden of date palms.  Tours available, reservations encouraged.",,
Medjool Dates,Bard Date Company Retail Outlet,,245 S. Main St,Yuma,,32.723434,-114.617841,,,928.341.9966,,,"Country store, tours",Monday - Saturday 9-5 all year.,"Bard Date Company, one of the largest growers in the area, has a year-round retail outlet at Basket Creations and More downtown. The store offers all grades of Medjools and chopped, cooking and pitted dates, plus many different gift packages, souvenirs, custom gift baskets and Southwest jellies and candies. And from October through April, they offer date shakes, too! Tours of the groves are given once a month on Saturdays, sign up at the store. ",,
Medjool Dates,Date Night Dinners,,A Yuma date grove,Yuma,,32.727418,-114.623532,Yuma Visitors Bureau,http://www.visityuma.com/date-night-dinners.html,928.783.0071 or 800.293.0071,,,Dinner Event,"Monthly, January through March. Call for information.","For an ""only in Yuma"" experience, treat your sweetie to a Date Night""- a multi-course gourmet dinner served under the stars in a lush Yuma date grove! Enjoy an elegant meal where every course features a new twist on this oldest of cultivated fruits", whether savory or sweet. Cost is $65 and seating is limited. Your ticket price includes transportation to and from the site," a delicious dinner and a special program by a Yuma date grower. Tickets for this monthly event go on sale November 1. Please check website or call for details. """
Olives ,Queen Creek Olive Mill,"""\\Covellite\vae\Ag_Grant\Map\Images\Olives-Lemons\OliveMax-Decanter_Queen_Creek.jpg""",25062 S. Meridian Road,Queen Creek,,33.221239,-111.583228,Alicia Popple/Perry Rea,http://www.queencreekolivemill.com/,480.888.9290,"y, will send info",info@queencreekolivemill.com,Country Store; Restaurant; Tours,Open daily. Check the website for hours and holidays. ,Arizona's only olive mill presses the tree harvest into delicious oil on site and uses solar energy. Country store offers a variety of fine olive oils and more. Come explore with a tour or grab a bite at the del Piero Winery. ,queen-creek/OliveMax-Decanter_Queen_Creek.jpg,
Pumpkins; Chili Peppers; Sweet Corn,Adams Family Farms,,17455 S Round Mountain Rd,Dewey,,34.523172,-112.157038,Wayne Adams,,928.632.8155,phone disc,info@adamsfamilyfarms,U-Pick; Farm Stand; Tours; Events,Call for information.,A full farm with a variety of produce and a petting zoo. ,,
Pumpkins; Romaine Lettuce,Agua Linda Farm,,2643 I-19 E. Frontage Rd,Amado,These coordinates are from the special farm from their website. ,31.672252,-111.057773,Laurel Loew,http://www.agualindafarm.net/,520-891-5532,LM,stewart@agualindafarm.net,Tours; Events; Petting Zoo; ,Seasonal by appointment.,"Mostly a pasture and ranch, events include a fall pumpkin festival as well as a garlic and onion festival in summer and an Easter Egg Hunt in spring. This location is available for private events such as weddings, and offers field trips and a petting zoo to school-age children throughout the month of October. ",,
