Crop,Farm/Grower,Location,Area,WTF?,Lat,Long,Owner,Website,Contact,Email,You pick?,Hours of operation,Notes
Lemons,Friesian Groves/Cotton Lane Citrus,14014 n. 172nd Ave,Surprise,residential street,33.612244,-112.432253,George Bradbury,http://u-pickcitrusaz.com/,623.556.1024,info@u-pickcitrusaz.com,U-Pick, Weekdays by appointment; Saturday & Sunday 9-3,"Many types of citrus are available, including oranges, white grapefruit, tangelos, and lemons."
Lemons; Apples; Chili Peppers; Pumpkins; Medjool Dates; Sweet Corn,Farm at Agritopia,3000 E. Ray Rd #5,Gilbert,,33.321864,-111.726244,Johnston Farms,http://thefarmatagritopia.com/,480.988.2238,erich@thefarmatagritopia.com,U-Pick;  Farm Stand; Farmers Market;  Restaurant; Tours,Citrus U-Pick: Saturday 8-3; Farm Stand: Saturday & Sunday 8-12; 24 hour self-service; Agritopia Farmers Markets: Wednesday 4-8; Saturday 8-3,"Agritopia is an ""urban farm"" designed to flourish in the urban setting of suburban Phoenix.  A great source for organic produce of all types. "
Lemons; Olives,Truman Ranch II,Greenway Rd. and 188th Ave,Surprise,,33.618056,-112.460833,James S. Truman,http://u-pickcitrusaz.com/truman-ranch/,623.546.1715,info@u-pickcitrusaz.com,U-Pick,Saturday & Sunday 9:30-3:00,"85 varieties of citrus fruit plus olives, apples, figs, and more! The fourth-generation Arizona citrus farmer who managed the citrus farm when it was the university's Citrus Agricultural Center in Waddell since 1988 continues to nurture the 40 acres. "
Lavender,Red Rock Ranch and Farms,HC 65 Box 35201,Concho,,34.475565,-109.605886,Michael and Chistine Teeple,http://www.redrockfarms.com/,928.337.2289,tours@redrockfarms.com,Country Store; Special Events,Weekdays 9-3 ,Tours are available. This venue hosts the yearly lavender festival in June. 
Lavender,Windy Hills Lavender,3374 Stone Bridge Trail,Heber,,34.426879,-110.585965,Lois Hunt,http://www.windyhillslavender.com/,928.240.2273,windyhillslavender@yahoo.com,"Country Store, Classes",Friday 11-6; Saturday 10-6; Sunday 10-4,This off-the-grid lavender farm offers classes at their Heber botique.
Lavender,Lavender Herb Farm and Tea House,1097 N. James Dr,Chino Valley,,34.763585,-112.43841,Linda,http://www.lavenderherbfarm.com/,928.636.5270,linda@lavenderherbfarm.com,Country Store and Restaurant,First and third Saturdays of every month,A wide variety of lavender is available here. The tea house hosts two special teas per month and is open for special events. Please see website for details.
Honey; Sweet Corn; Pumpkins; Chili Peppers,Mortimer Family Farms,12907 State Route 169,Dewey,,34.530161,-112.23983,Gary and Sharla Mortimer,http://mortimerfamilyfarms.com/,928.830.1666,info@mortimerfamilyfarms.com,Country Store; Tours; Special Events,Daily 8-5,"This large farm hosts special events, offers tours, and hosts two festivals a year: the Sweet Corn Festival in late August and a Pumpkin Festival in October complete with corn maze. Throughout the year it offers vegetables and meats as well as a variety of sweets in their country store. "
Honey; Chili Peppers; Sweet Corn; Pumpkins; Romaine Lettuce,RichCrest Farms,2768 N. Evelyn Lane,Cochise,,32.038028,-109.870841,,http://www.richcrestfarms.blogspot.com/,520.826.3434,richcrestfarm@gmail.com,U-Pick; Country Store; Tours; Special Events; Guest Lodging,Daily 7-6; U-Pick open June-October by appointment.,A working farom with a variety of organic produce and opportunities to learn or discover with classes and tours. 
Dates; Honey; Romaine Lettuce,Tonopah Rob's Vegetable Farm,35838 W Buckeye Rd,Tonopah,,33.43671,-112.823666,Rob,http://tonopahrob.com/,623.386.3033,tonopahrob@gmail.com,U-Pick; Farm Stand; CSA,Saturday 8-noon (summer hours 7:00 - 11:00 am). Farm stand opens November 2,"A community-centric farm with opportunities for volunteeers. Honey, dates, and a whole variety of veggies (lots of tomatoes) even a few fruits."
Olives ,Queen Creek Olive Mill,25062 S. Meridian Road,Queen Creek,,33.221239,-111.583228,Alicia Popple/Perry Rea,http://www.queencreekolivemill.com/,480.888.9290,info@queencreekolivemill.com,Country Store; Restaurant; Tours,"Sunday - Thursday 8-5; Friday - Saturday: 8:00 am - 9:00 pm; Tours: 7 days a week, 9:30-3:30 hourly. $5.00 per person, Children under 12 get free admittance.  Large groups can be accommodated with advance notice.  ",Arizona's only olive mill presses the tree harvest into delicious oil on site. Country store offers a variety of fine olive oils and more. Come explore with a tour or grab a bite at the del Piero Winery. 
Pumpkins; Chili Peppers; Sweet Corn,Adams Family Farms,17455 S Round Mountain Rd,Dewey,,34.523172,-112.157038,Wayne Adams,N/A,928.632.8155,info@adamsfamilyfarms,U-Pick; Farm Stand; Tours; Events,call for information,A full farm with a variety of produce and a petting zoo. 
